n_pilot_designs,per_iteration_budget,pilot_samples_per_design,method,20_percent_budget_regret,50_percent_budget_regret,100_percent_budget_regret
6,32,16,MC-SF,1.64,0.354,0.0498
6,32,16,ACV-gamma-OPT,0.0357,0.0127,0.00432
6,32,16,ACV-FLAT,0.05,0.0147,0.0115
6,32,16,ACV-INDEP,0.0984,0.0206,0.00759
6,32,32,MC-SF,1.69,0.295,0.0828
6,32,32,ACV-gamma-OPT,0.0535,0.0127,0.00579
6,32,32,ACV-FLAT,0.0508,0.0095,0.00881
6,32,32,ACV-INDEP,0.0767,0.0217,0.00764
6,64,16,MC-SF,1.74,0.231,0.0736
6,64,16,ACV-gamma-OPT,0.0383,0.0137,0.00167
6,64,16,ACV-FLAT,0.0684,0.0208,0.0092
6,64,16,ACV-INDEP,0.148,0.0234,0.00743
6,64,32,MC-SF,1.65,0.238,0.0525
6,64,32,ACV-gamma-OPT,0.0373,0.00575,0.00313
6,64,32,ACV-FLAT,0.0154,0.0113,0.00843
6,64,32,ACV-INDEP,0.0982,0.016,0.00598
6,128,16,MC-SF,1.51,0.347,0.0311
6,128,16,ACV-gamma-OPT,0.029,0.00471,0.00222
6,128,16,ACV-FLAT,0.0914,0.023,0.00681
6,128,16,ACV-INDEP,0.13,0.0179,0.00946
6,128,32,MC-SF,1.61,0.35,0.0375
6,128,32,ACV-gamma-OPT,0.0223,0.00353,0.00115
6,128,32,ACV-FLAT,0.00861,0.00807,0.00467
6,128,32,ACV-INDEP,0.0683,0.00893,0.00489
12,32,16,MC-SF,1.69,0.295,0.0828
12,32,16,ACV-gamma-OPT,0.0652,0.00817,0.00358
12,32,16,ACV-FLAT,0.0987,0.0196,0.0142
12,32,16,ACV-INDEP,0.103,0.0245,0.00795
12,32,32,MC-SF,1.57,0.323,0.0924
12,32,32,ACV-gamma-OPT,0.0684,0.00822,0.00253
12,32,32,ACV-FLAT,0.0703,0.0112,0.00516
12,32,32,ACV-INDEP,0.13,0.0157,0.00613
12,64,16,MC-SF,1.65,0.238,0.0525
12,64,16,ACV-gamma-OPT,0.0178,0.00342,0.00207
12,64,16,ACV-FLAT,0.0396,0.0172,0.00524
12,64,16,ACV-INDEP,0.12,0.019,0.00799
12,64,32,MC-SF,1.58,0.273,0.0342
12,64,32,ACV-gamma-OPT,0.0236,0.00525,0.0015
12,64,32,ACV-FLAT,0.029,0.00724,0.00395
12,64,32,ACV-INDEP,0.151,0.0168,0.00677
12,128,16,MC-SF,1.61,0.35,0.0375
12,128,16,ACV-gamma-OPT,0.0145,0.00187,0.00144
12,128,16,ACV-FLAT,0.026,0.00647,0.00228
12,128,16,ACV-INDEP,0.0968,0.022,0.00707
12,128,32,MC-SF,1.64,0.334,0.0296
12,128,32,ACV-gamma-OPT,0.0124,0.00544,0.00145
12,128,32,ACV-FLAT,0.0105,0.00336,0.00206
12,128,32,ACV-INDEP,0.0374,0.021,0.00492
